_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
27.8333,POINT (-81.717 27.8333),,,,,-81.717,4/1,2015-04-01T00:00:00.000,59011,,59011075204,,,04,2015,0752,BUTRANS,2,MCOU,FL,true,,
44.0407,POINT (-72.7093 44.0407),,,,,-72.7093,7/1,2015-07-01T00:00:00.000,00054,2312.93,00054457125,0,70,25,2015,4571,METHADONE,3,FFSU,VT,false,2312.93,9118
36.17,POINT (-119.7462 36.17),,,,,-119.7462,1/1,2015-01-01T00:00:00.000,67877,51819.86,67877011601,0,2115,01,2015,0116,METHADONE,1,MCOU,CA,false,51819.86,344328
38.468,POINT (-80.9696 38.468),,,,,-80.9696,1/1,2015-01-01T00:00:00.000,00054,,00054457025,,,25,2015,4570,METHADONE,1,FFSU,WV,true,,
35.5376,POINT (-96.9247 35.5376),,,,,-96.9247,7/1,2015-07-01T00:00:00.000,66689,,66689071116,,,16,2015,0711,Methadone,3,FFSU,OK,true,,
41.5834,POINT (-72.7622 41.5834),,,,,-72.7622,10/1,2015-10-01T00:00:00.000,66689,,66689069430,,,30,2015,0694,Methadone,4,FFSU,CT,true,,
61.385,POINT (-152.2683 61.385),,,,,-152.2683,10/1,2015-10-01T00:00:00.000,59385,,59385001630,,,30,2015,0016,BUNAVAIL,4,FFSU,AK,true,,
41.5834,POINT (-72.7622 41.5834),,,,,-72.7622,1/1,2015-01-01T00:00:00.000,00054,353.98,00054457025,0,51,25,2015,4570,METHADONE,1,FFSU,CT,false,353.98,4486
,,,,,,,10/1,2015-10-01T00:00:00.000,66689,,66689089840,,,40,2015,0898,METHADONE,4,MCOU,XX,true,,
44.2563,POINT (-89.6385 44.2563),,,,,-89.6385,1/1,2015-01-01T00:00:00.000,00406,1997.41,00406575501,241.73,184,01,2015,5755,METHADONE,1,FFSU,WI,false,2239.14,17130
42.7475,POINT (-107.2085 42.7475),,,,,-107.2085,10/1,2015-10-01T00:00:00.000,67877,402.56,67877011601,0,24,01,2015,0116,Methadone,4,FFSU,WY,false,402.56,2274
32.7673,POINT (-89.6812 32.7673),,,,,-89.6812,4/1,2015-04-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,2,FFSU,MS,true,,
